"Mean","Median","SD","lcl","ucl"
0.0276108371949529,7.16651025839767e-09,0.114059550973055,5.54683519785612e-17,0.413527971260326
0.762707964196367,0.757116476431838,0.0545461497612372,0.667122790362185,0.887692983172446
18.20492388398,18.2747324054376,4.03649971600004,10.0108325754823,25.9670054154376
0.171555012898148,0.131403221854402,0.139188276479723,0.018344314043225,0.549222618950495
0.32742426017785,0.324182794027392,0.0748134215422945,0.191740986816019,0.483143849948903
0.24935390400712,0.247113651220117,0.0485509845954833,0.160490600009231,0.350422877249617
0.0346223013905881,0.0318467317367317,0.0168152386851815,0.0100279778690893,0.0749544120475955
0.207526399364572,0.205304527807945,0.0409115152009898,0.133814789560143,0.293321166697341
0.0913362386337501,0.0889698222346536,0.0258946608773467,0.0478435184350307,0.148517357127435
0.11005061274401,0.107730702347946,0.0284583296038005,0.0611315909709886,0.171605009660801
0.625160869496634,0.626004474851327,0.0448044244051137,0.535483257668329,0.710491635086844
0.747723848919224,0.748770467402751,0.0356645289189089,0.675143556306286,0.814708468742621
0.0718965113883909,0.0702051713176239,0.0196080405456854,0.0385055046506892,0.11479208947386
0.0725739676504874,0.0705541991652527,0.0217459833884015,0.0362508346912163,0.120870433058502
0.119385768529434,0.117370877250095,0.0280232527362661,0.0704579062128696,0.179386695621332
0.459896666941041,0.459408155035203,0.0453683380773434,0.372153165920595,0.549733591927347
0.384099881925266,0.383530132410683,0.0401899218899633,0.307187816696436,0.464071160813529
0.331298203769259,0.330443209006909,0.0386116475486915,0.258127271814119,0.408837008954201
0.273971024541076,0.272836736620353,0.0367018865227936,0.205396450189525,0.349072727268403
0.0469544796795035,0.0450742616020097,0.0163068632561205,0.020725859471021,0.0838739488764464
0.0357407889116926,0.0338744341758754,0.0142230069727657,0.0135317526721115,0.068749526186131
0.24863903787309,0.247217072656387,0.0366569171133943,0.180894562366314,0.324146604154572
0.491723769290215,0.491278102632136,0.044360962610414,0.40560391080018,0.579196064167668
0.329435295454494,0.328476525587065,0.0386297993725508,0.256674470580254,0.407930050336485
0.175881744846804,0.174284152109308,0.030493461818763,0.120690852536256,0.240013259331971
0.180131107134147,0.17849748800839,0.0311960803297468,0.124211097504777,0.245733727999385
0.0187326885317882,0.0170642760607001,0.00977837586828237,0.00477043419488498,0.042253303310332
0.0473996845809814,0.045373196033462,0.0168073221485897,0.0205415203623111,0.0857477876952757
0.121918534723187,0.119683157385347,0.0283675676262209,0.072883633546271,0.183393379470168
0.0371891382652797,0.0350707325820751,0.015126598232055,0.0139643350520464,0.0724063666533287
0.119200600884011,0.116973720801352,0.0285184847195941,0.0702182105156805,0.181156007036188
0.289521097181635,0.287312398176895,0.0449432598096472,0.207763925207389,0.383268322765749
0.318365188096512,0.315389656113509,0.0486097437056543,0.231926716781636,0.421576775100102
0.0690977680579353,0.0665466043201589,0.022234304510755,0.0337303010000313,0.119040819408191
0.0205919239301403,0.0185074985610343,0.0112016414332281,0.00512012722431434,0.0476368934610062
3390.28120152987,3389.36926521635,38.3583217519581,3317.49616781825,3469.3035340749
